pathway	category
REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK	Signal Transduction
REACTOME_PTEN_REGULATION	Signal Transduction
REACTOME_SIGNALING_BY_NODAL	Developmental Biology
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	Developmental Biology
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION	Developmental Biology
REACTOME_AXON_GUIDANCE	Developmental Biology
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_PLURIPOTENT_STEM_CELLS	Developmental Biology
REACTOME_MYOGENESIS	Developmental Biology
REACTOME_ACTIVATION_OF_HOX_GENES_DURING_DIFFERENTIATION	Developmental Biology
REACTOME_LGI_ADAM_INTERACTIONS	Developmental Biology
REACTOME_KERATINIZATION	Developmental Biology
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS	Developmental Biology
REACTOME_PROLACTIN_RECEPTOR_SIGNALING	Immune System
REACTOME_SIGNALING_BY_INTERLEUKINS	Immune System
REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY	Immune System
REACTOME_INTERFERON_SIGNALING	Immune System
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING	Immune System
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Immune System
REACTOME_TCR_SIGNALING	Immune System
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	Immune System
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	Immune System
REACTOME_RAP1_SIGNALLING	Immune System
REACTOME_BUTYROPHILIN_BTN_FAMILY_INTERACTIONS	Immune System
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	Immune System
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	Immune System
REACTOME_G_PROTEIN_GATED_POTASSIUM_CHANNELS	Neuronal System
REACTOME_CA2PLUS_ACTIVATED_KPLUS_CHANNELS	Neuronal System
REACTOME_INWARDLY_RECTIFYING_KPLUS_CHANNELS	Neuronal System
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	Neuronal System
REACTOME_TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS	Neuronal System
REACTOME_REGULATION_BY_C_FLIP	Programmed Cell Death
REACTOME_EXTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION	Hemostasis
REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION	Hemostasis
REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION	Hemostasis
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	Metabolism
REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE	Metabolism
REACTOME_MITOCHONDRIAL_IRON_SULFUR_CLUSTER_BIOGENESIS	Metabolism
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	Metabolism
REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE	Metabolism
REACTOME_INOSITOL_PHOSPHATE_METABOLISM	Metabolism
REACTOME_METABOLISM_OF_NUCLEOTIDES	Metabolism
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	Metabolism
REACTOME_METABOLISM_OF_PORPHYRINS	Metabolism
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	Metabolism
REACTOME_METABOLISM_OF_NITRIC_OXIDE:_ENOS_ACTIVATION_AND_REGULATION	Metabolism
REACTOME_BIOLOGICAL_OXIDATIONS	Metabolism
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM	Metabolism
REACTOME_CYTOSOLIC_IRON_SULFUR_CLUSTER_ASSEMBLY	Metabolism
REACTOME_METABOLISM_OF_LIPIDS	Metabolism
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	Metabolism
REACTOME_METABOLISM_OF_CARBOHYDRATES	Metabolism
REACTOME_REGULATION_OF_KIT_SIGNALING	Signal Transduction
REACTOME_BETA_DEFENSINS	Immune System
REACTOME_ALPHA_DEFENSINS	Immune System
REACTOME_FERTILIZATION	Reproduction
REACTOME_MEIOSIS	Reproduction
REACTOME_MEIOSIS	Cell Cycle
REACTOME_COLLAGEN_DEGRADATION	Extracellular matrix organization
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	Extracellular matrix organization
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	Extracellular matrix organization
REACTOME_COLLAGEN_FORMATION	Extracellular matrix organization
REACTOME_ELASTIC_FIBRE_FORMATION	Extracellular matrix organization
REACTOME_FIBRONECTIN_MATRIX_FORMATION	Extracellular matrix organization
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	Extracellular matrix organization
REACTOME_LAMININ_INTERACTIONS	Extracellular matrix organization
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	Extracellular matrix organization
REACTOME_ECM_PROTEOGLYCANS	Extracellular matrix organization
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	Extracellular matrix organization
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	Extracellular matrix organization
REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	Transport of small molecules
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC	Metabolism
REACTOME_ACYL_CHAIN_REMODELING_OF_CL	Metabolism
REACTOME_ACYL_CHAIN_REMODELLING_OF_PS	Metabolism
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE	Metabolism
REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG	Metabolism
REACTOME_ACYL_CHAIN_REMODELLING_OF_PI	Metabolism
REACTOME_ACYL_CHAIN_REMODELLING_OF_PG	Metabolism
REACTOME_HYDROLYSIS_OF_LPC	Metabolism
REACTOME_SYNTHESIS_OF_PG	Metabolism
REACTOME_SYNTHESIS_OF_PA	Metabolism
REACTOME_SYNTHESIS_OF_PC	Metabolism
REACTOME_SYNTHESIS_OF_PE	Metabolism
REACTOME_SYNTHESIS_OF_PI	Metabolism
REACTOME_SYNTHESIS_OF_PYROPHOSPHATES_IN_THE_CYTOSOL	Metabolism
REACTOME_SYNTHESIS_OF_IP2_IP_AND_INS_IN_THE_CYTOSOL	Metabolism
REACTOME_SYNTHESIS_OF_IP3_AND_IP4_IN_THE_CYTOSOL	Metabolism
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_ER_MEMBRANE	Metabolism
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE	Metabolism
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE	Metabolism
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE	Metabolism
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_LATE_ENDOSOME_MEMBRANE	Metabolism
REACTOME_GLYCEROPHOSPHOLIPID_CATABOLISM	Metabolism
REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	Metabolism
REACTOME_PI_METABOLISM	Metabolism
REACTOME_MEIOTIC_SYNAPSIS	Reproduction
REACTOME_MEIOTIC_SYNAPSIS	Cell Cycle
REACTOME_MEIOTIC_RECOMBINATION	Reproduction
REACTOME_MEIOTIC_RECOMBINATION	Cell Cycle
REACTOME_NEPHRIN_FAMILY_INTERACTIONS	Cell-Cell communication
REACTOME_SIGNAL_REGULATORY_PROTEIN_FAMILY_INTERACTIONS	Cell-Cell communication
REACTOME_CELL_JUNCTION_ORGANIZATION	Cell-Cell communication
REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_DREAM_COMPLEX	Cell Cycle
REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_P107_RBL1_AND_P130_RBL2_IN_COMPLEX_WITH_HDAC1	Cell Cycle
REACTOME_METHYLATION	Metabolism
REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES	Metabolism
REACTOME_AMINO_ACID_CONJUGATION	Metabolism
REACTOME_GLUCURONIDATION	Metabolism
REACTOME_GLUTATHIONE_CONJUGATION	Metabolism
REACTOME_TRANSPORT_AND_SYNTHESIS_OF_PAPS	Metabolism
REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING	Metabolism
REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES	Extracellular matrix organization
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING	Signal Transduction
REACTOME_SIGNALING_BY_NOTCH1	Signal Transduction
REACTOME_SIGNALING_BY_NOTCH2	Signal Transduction
REACTOME_SIGNALING_BY_NOTCH3	Signal Transduction
REACTOME_SIGNALING_BY_NOTCH4	Signal Transduction
REACTOME_EXTENSION_OF_TELOMERES	Cell Cycle
REACTOME_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES	Metabolism
REACTOME_NUCLEOBASE_CATABOLISM	Metabolism
REACTOME_NUCLEOBASE_BIOSYNTHESIS	Metabolism
REACTOME_NUCLEOTIDE_SALVAGE	Metabolism
REACTOME_TRANSCRIPTIONAL_ACTIVATION_OF_MITOCHONDRIAL_BIOGENESIS	Organelle biogenesis and maintenance
REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION	Organelle biogenesis and maintenance
REACTOME_CRISTAE_FORMATION	Organelle biogenesis and maintenance
REACTOME_TRANSPORT_OF_THE_SLBP_DEPENDANT_MATURE_MRNA	Metabolism of RNA
REACTOME_CONJUGATION_OF_BENZOATE_WITH_GLYCINE	Metabolism
REACTOME_REMOVAL_OF_AMINOTERMINAL_PROPEPTIDES_FROM_GAMMA_CARBOXYLATED_PROTEINS	Metabolism of proteins
REACTOME_IRF3_MEDIATED_ACTIVATION_OF_TYPE_1_IFN	Immune System
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_ZBP1	Immune System
REACTOME_SULFIDE_OXIDATION_TO_SULFATE	Metabolism
REACTOME_METHIONINE_SALVAGE_PATHWAY	Metabolism
REACTOME_DEGRADATION_OF_CYSTEINE_AND_HOMOCYSTEINE	Metabolism
REACTOME_SIGNALING_BY_NOTCH	Signal Transduction
REACTOME_MTOR_SIGNALLING	Signal Transduction
REACTOME_SIGNALING_BY_RHO_GTPASES	Signal Transduction
REACTOME_SIGNALING_BY_WNT	Signal Transduction
REACTOME_SIGNALING_BY_HIPPO	Signal Transduction
REACTOME_SIGNALING_BY_LEPTIN	Signal Transduction
REACTOME_INTEGRIN_SIGNALING	Hemostasis
REACTOME_INTEGRIN_SIGNALING	Signal Transduction
REACTOME_SIGNALING_BY_GPCR	Signal Transduction
REACTOME_SIGNALING_BY_HEDGEHOG	Signal Transduction
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	Signal Transduction
REACTOME_DEATH_RECEPTOR_SIGNALLING	Signal Transduction
REACTOME_SIGNALING_BY_ERYTHROPOIETIN	Signal Transduction
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	Signal Transduction
REACTOME_SIGNALING_BY_NON_RECEPTOR_TYROSINE_KINASES	Signal Transduction
REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS	Signal Transduction
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	Signal Transduction
REACTOME_SIGNALING_BY_TGF_BETA_FAMILY_MEMBERS	Signal Transduction
REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE	Disease
REACTOME_2_LTR_CIRCLE_FORMATION	Disease
REACTOME_INTEGRATION_OF_PROVIRUS	Disease
REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION	Disease
REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME	Disease
REACTOME_ASSEMBLY_OF_THE_HIV_VIRION	Disease
REACTOME_HIV_LIFE_CYCLE	Disease
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	Disease
REACTOME_THE_ROLE_OF_NEF_IN_HIV_1_REPLICATION_AND_DISEASE_PATHOGENESIS	Disease
REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS	Disease
REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS	Disease
REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G	Disease
REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV_1_INFECTION	Disease
REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM	Metabolism
REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM	Metabolism
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM	Metabolism
REACTOME_HYALURONAN_METABOLISM	Metabolism
REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI	Metabolism of proteins
REACTOME_ATTACHMENT_OF_GPI_ANCHOR_TO_UPAR	Metabolism of proteins
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING	Metabolism
REACTOME_MITOCHONDRIAL_UNCOUPLING_PROTEINS	Metabolism
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	Metabolism
REACTOME_PKA_ACTIVATION_IN_GLUCAGON_SIGNALLING	Metabolism
REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS	Metabolism
REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION	Metabolism
REACTOME_AMPK_INHIBITS_CHREBP_TRANSCRIPTIONAL_ACTIVATION_ACTIVITY	Metabolism
REACTOME_CHREBP_ACTIVATES_METABOLIC_GENE_EXPRESSION	Metabolism
REACTOME_PP2A_MEDIATED_DEPHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS	Metabolism
REACTOME_REGULATION_OF_INSULIN_SECRETION	Metabolism
REACTOME_KERATAN_SULFATE_BIOSYNTHESIS	Metabolism
REACTOME_KERATAN_SULFATE_DEGRADATION	Metabolism
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS	Metabolism
REACTOME_HS_GAG_BIOSYNTHESIS	Metabolism
REACTOME_HS_GAG_DEGRADATION	Metabolism
REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS	Metabolism of proteins
REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES	Metabolism of proteins
REACTOME_SYNTHESIS_OF_DIPHTHAMIDE_EEF2	Metabolism of proteins
REACTOME_CELL_CYCLE_MITOTIC	Cell Cycle
REACTOME_CELL_CYCLE_CHECKPOINTS	Cell Cycle
REACTOME_CHROMOSOME_MAINTENANCE	Cell Cycle
REACTOME_DISEASES_OF_GLYCOSYLATION	Disease
REACTOME_DISEASES_OF_IMMUNE_SYSTEM	Disease
REACTOME_DISEASES_OF_MISMATCH_REPAIR_MMR	Disease
REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS	Disease
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION	Disease
REACTOME_INFECTIOUS_DISEASE	Disease
REACTOME_DISEASES_OF_METABOLISM	Disease
REACTOME_NEURODEGENERATIVE_DISEASES	Disease
REACTOME_PERVASIVE_DEVELOPMENTAL_DISORDERS	Disease
REACTOME_SIGNALING_BY_EGFRVIII_IN_CANCER	Disease
REACTOME_SIGNALING_BY_LIGAND_RESPONSIVE_EGFR_VARIANTS_IN_CANCER	Disease
REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION	Disease
REACTOME_NEF_MEDIATED_CD4_DOWN_REGULATION	Disease
REACTOME_NEF_MEDIATED_CD8_DOWN_REGULATION	Disease
REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS	Disease
REACTOME_NEF_AND_SIGNAL_TRANSDUCTION	Disease
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	Extracellular matrix organization
REACTOME_MTORC1_MEDIATED_SIGNALLING	Signal Transduction
REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK	Signal Transduction
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	Metabolism
REACTOME_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX	Immune System
REACTOME_IRAK1_RECRUITS_IKK_COMPLEX	Immune System
REACTOME_IRAK2_MEDIATED_ACTIVATION_OF_TAK1_COMPLEX	Immune System
REACTOME_TRIF_TICAM1_MEDIATED_TLR4_SIGNALING	Immune System
REACTOME_SIGNALING_BY_NTRK1_TRKA	Signal Transduction
REACTOME_SIGNALING_BY_NTRK2_TRKB	Signal Transduction
REACTOME_SIGNALING_BY_NTRK3_TRKC	Signal Transduction
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Immune System
REACTOME_TERMINAL_PATHWAY_OF_COMPLEMENT	Immune System
REACTOME_ACTIVATION_OF_C3_AND_C5	Immune System
REACTOME_FICOLINS_BIND_TO_REPETITIVE_CARBOHYDRATE_STRUCTURES_ON_THE_TARGET_CELL_SURFACE	Immune System
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Immune System
REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION	Immune System
REACTOME_LECTIN_PATHWAY_OF_COMPLEMENT_ACTIVATION	Immune System
REACTOME_P38MAPK_EVENTS	Signal Transduction
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	Disease
REACTOME_FORMATION_OF_HIV_ELONGATION_COMPLEX_IN_THE_ABSENCE_OF_HIV_TAT	Disease
REACTOME_HIV_ELONGATION_ARREST_AND_RECOVERY	Disease
REACTOME_MYD88_CASCADE_INITIATED_ON_PLASMA_MEMBRANE	Immune System
REACTOME_TICAM1_RIP1_MEDIATED_IKK_COMPLEX_RECRUITMENT	Immune System
REACTOME_TLR3_MEDIATED_TICAM1_DEPENDENT_PROGRAMMED_CELL_DEATH	Immune System
REACTOME_TICAM1_DEPENDENT_ACTIVATION_OF_IRF3_IRF7	Immune System
REACTOME_TICAM1_TRAF6_DEPENDENT_INDUCTION_OF_TAK1_COMPLEX	Immune System
REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES	Immune System
REACTOME_COMPLEMENT_CASCADE	Immune System
REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS	Immune System
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES	Immune System
REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA	Immune System
REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA	Immune System
