"Dis1"	"Dis2"	"Distance"	"pvalue"	"adj_pvalue"
"ParkinsonsDisease"	"Schizophrenia"	0.375011572723139	2.80419854029846e-157	7.01850834657557e-156
"AdenomatousPolyps"	"HyperplasticPolyps"	0.374038152147868	1.93003274791115e-160	4.97267260932401e-159
"BipolarDisorder"	"FamilialDysautonomia"	0.372719447630372	2.2684874877955e-36	1.24199689956804e-35
"ParkinsonsDisease"	"MultipleSclerosis"	0.371894714446629	3.21203488902091e-155	7.81595156328421e-154
"ParkinsonsDisease"	"MyotonicDystrophy"	0.369774520172355	6.80938771594556e-146	1.49125590979208e-144
"AdenomatousPolyps"	"ProstateCancer"	0.369712230008195	1.53254898439418e-27	6.54884346502098e-27
"BipolarDisorder"	"ParkinsonsDisease"	0.366456946414597	3.96151289959589e-143	8.46411048791707e-142
"KaposisSarcoma"	"UlcerativeColitis"	0.366207661219995	2.22932960541559e-243	8.49083797540896e-242
"FamilialDysautonomia"	"Glioblastoma"	0.365985343416597	2.56258351972579e-286	1.06896341108562e-284
"Schizophrenia"	"HuntingtonsDisease"	0.361176287258291	1.45552674750948e-98	1.96160220125893e-97
"MultipleSclerosis"	"Smoker"	0.360987971222221	2.65929467868024e-29	1.21965556990779e-28
"ColorectalCancer"	"AdenomatousPolyps"	0.357422483677418	2.63069470985315e-48	1.84359085266509e-47
"AdenomatousPolyps"	"PosttraumaticStressDisorder"	0.352555940728838	4.97571168045868e-25	2.00862830971512e-24
"ChronicObstructivePulmonaryDisease"	"Cardiomyopathy"	0.340446271725036	5.4652577967069e-216	1.84137147304432e-214
"MultipleSclerosis"	"Glioblastoma"	0.323461444872758	8.87341132547824e-214	2.68038217969619e-212
"Autism"	"FamilialDysautonomia"	0.322934540602922	2.84350033439265e-27	1.20333637339515e-26
"ChronicObstructivePulmonaryDisease"	"RheumatoidArthritis"	0.321705663033611	4.45949094782163e-190	1.26016582912637e-188
"AdenomatousPolyps"	"FamilialDysautonomia"	0.300070515918785	1.41650515456426e-39	8.32790949931738e-39
"AlagilleSyndrome"	"LiverCancer"	0.299486063747712	9.38860575969676e-142	1.9581949155939e-140
"Autism"	"HuntingtonsDisease"	0.294484072154615	1.05095028831967e-59	8.36938593243664e-59
"Ulcer"	"KaposisSarcoma"	0.293698562220214	8.33651573369903e-114	1.35236810791118e-112
"ChronicObstructivePulmonaryDisease"	"UlcerativeColitis"	0.289567658629488	6.88983625067706e-214	2.20017721001459e-212
"HyperplasticPolyps"	"Smoker"	0.284552272349009	4.3413947955584e-88	5.00402873803836e-87
"ChronicObstructivePulmonaryDisease"	"CrohnsDisease"	0.280131233733633	7.03252989502381e-214	2.20017721001459e-212
"AmyotrophicLateralSclerosis"	"UlcerativeColitis"	0.279406351822022	2.75678431174211e-127	5.03113136892935e-126
"LymphocyticColitis"	"BreastCancer"	0.277625872743293	4.02832433832056e-150	9.53733005505084e-149
"ParkinsonsDisease"	"Asthma"	0.277329723655403	6.31962860470511e-96	8.14116861429658e-95
"Smoker"	"SessileSerratedPolyp"	0.277247161843698	8.6431094930956e-58	6.76014635352835e-57
"EosinophilicEsophagitis"	"LymphocyticColitis"	0.272546286496449	1.74573590958914e-86	1.93577804658238e-85
"ChronicObstructivePulmonaryDisease"	"Keratoconus"	0.271642364828117	5.6865001339848e-134	1.08290741681971e-132
"CrohnsDisease"	"AmyotrophicLateralSclerosis"	0.267366875446697	1.07512660804022e-140	2.19025792707729e-139
"ThyroidCancer_Papillary"	"SessileSerratedPolyp"	0.266735028368359	2.18131659185125e-65	1.96993127264092e-64
"ParkinsonsDisease"	"ThyroidCancer_Papillary"	0.263458726885534	2.40811737829819e-88	2.81268109785228e-87
"AdenomatousPolyps"	"Autism"	0.262361918974659	3.00419183360827e-14	8.86084864054157e-14
"AlagilleSyndrome"	"ChronicLymphocyticLeukemia"	0.261615521834104	1.50501634377889e-17	4.99277027390756e-17
"ChronicObstructivePulmonaryDisease"	"FriedreichsAtaxia"	0.258717820321833	1.20062133049175e-136	2.33720952335727e-135
"ThyroidCancer_Papillary"	"Smoker"	0.252681310074047	1.57146937071413e-31	7.69054284215405e-31
"CrohnsDisease"	"KaposisSarcoma"	0.252570919139751	1.83384886506655e-132	3.41798213999638e-131
"ThyroidCancer_Papillary"	"Asthma"	0.248408063923064	4.98762361543227e-38	2.80074249174274e-37
"Schizophrenia"	"Glioblastoma"	0.245370719407251	4.08377373371075e-121	7.30078732802167e-120
"RheumatoidArthritis"	"HuntingtonsDisease"	0.245048745199157	2.95657410969971e-41	1.79858258340066e-40
"HyperplasticPolyps"	"FamilialPulmonaryArterialHypertension"	0.244455998323757	2.29813282973043e-59	1.81366158454402e-58
"Cardiomyopathy"	"RheumatoidArthritis"	0.244196675740947	0.00461645776095698	0.00691284957025353
"ParkinsonsDisease"	"HyperplasticPolyps"	0.243872014787647	1.35285519591861e-101	1.88111293908683e-100
"ParkinsonsDisease"	"Smoker"	0.242657190754398	2.76449891825755e-66	2.54915900251959e-65
"ColorectalCancer"	"UlcerativeColitis"	0.242472552440318	2.59816421337256e-99	3.55623726705369e-98
"FamilialDysautonomia"	"AmyotrophicLateralSclerosis"	0.242318110734821	1.07129759223672e-15	3.30442496760339e-15
"HyperplasticPolyps"	"ProstateCancer"	0.239894220233502	3.57665810577559e-57	2.77270132801718e-56
"ColorectalCancer"	"CrohnsDisease"	0.239299990533595	1.24617950166763e-115	2.05972310086952e-114
"PosttraumaticStressDisorder"	"BreastCancer"	0.23876633518846	2.13657338565729e-110	3.40297870151961e-109
"ProstateCancer"	"IdiopathicPulmonaryFibrosis"	0.236515439240595	1.43476053945124e-83	1.57106279069911e-82
"Cardiomyopathy"	"Ischemia"	0.235421313180664	0.00579769980980535	0.00855014315385435
"EosinophilicEsophagitis"	"KaposisSarcoma"	0.233433383783319	4.75169275067344e-75	4.9553367257023e-74
"AlagilleSyndrome"	"BreastCancer"	0.232999647093723	4.48731223525853e-105	6.77738882428702e-104
"Ulcer"	"ThyroidCancer_Papillary"	0.232543484277545	1.92185237134222e-72	1.8916209857256e-71
"RheumatoidArthritis"	"UlcerativeColitis"	0.23246907566071	1.2923740205752e-87	1.47028524938165e-86
"Ulcer"	"ColorectalCancer"	0.22973434190311	5.14775278407635e-64	4.60146065188866e-63
"AdenomatousPolyps"	"BreastCancer"	0.228952785695228	2.24980027557642e-105	3.4575877919385e-104
"BipolarDisorder"	"AdenomatousPolyps"	0.228099398432121	5.51344670933695e-11	1.39588997612115e-10
"HyperplasticPolyps"	"Asthma"	0.227749789885049	3.57358057944231e-62	3.03927824038006e-61
"HyperplasticPolyps"	"ThyroidCancer_Papillary"	0.226089904093416	6.74823189171317e-63	5.85292191796112e-62
"ParkinsonsDisease"	"FamilialDysautonomia"	0.225480487465233	1.13142293930842e-61	9.43929995080172e-61
"Ulcer"	"SessileSerratedPolyp"	0.225334728530163	5.45737672433252e-75	5.62430824766505e-74
"Ulcer"	"Asthma"	0.224738052316728	1.80371329046026e-65	1.64588837754499e-64
"LymphocyticColitis"	"KaposisSarcoma"	0.220279387199999	9.47274240853504e-19	3.26697730310106e-18
"AdenomatousPolyps"	"CoeliacDisease"	0.219949518536578	2.68265363038949e-10	6.65723677116486e-10
"ParkinsonsDisease"	"SessileSerratedPolyp"	0.219499484837586	7.6013463560945e-71	7.39864378659865e-70
"Glioblastoma"	"AmyotrophicLateralSclerosis"	0.219044330794974	5.39932604678874e-95	6.85479654635787e-94
"ThyroidCancer_Papillary"	"KaposisSarcoma"	0.218852049316598	7.34833571270591e-33	3.74252446763394e-32
"SessileSerratedPolyp"	"UlcerativeColitis"	0.218601060318738	6.42192701584697e-90	7.60217306200264e-89
"HyperplasticPolyps"	"FacioscapulohumeralDystrophy"	0.21845671195314	1.75633711057563e-47	1.21145772351516e-46
"MuscularDystrophy"	"AdenomatousPolyps"	0.218219729008765	3.72396647827548e-10	9.18928066188542e-10
"Asthma"	"SessileSerratedPolyp"	0.215446338319702	7.94083977962505e-41	4.73209227683779e-40
"BreastCancer"	"LiverCancer"	0.214382119659886	8.26784521348093e-116	1.39281392442486e-114
"BorreliaBurdorferiInfection"	"RheumatoidArthritis"	0.211302263547785	2.89160042129352e-48	2.01035076908978e-47
"MultipleSclerosis"	"Schizophrenia"	0.20954247705068	1.05770274040971e-07	2.24890194320123e-07
"Schizophrenia"	"Ischemia"	0.20876242340044	7.9346276909717e-05	0.000137095342352884
"AlagilleSyndrome"	"Asthma"	0.208163368549716	1.41336710752838e-13	4.01983631881448e-13
"Smoker"	"SLE"	0.206579294811713	1.92682745940841e-07	3.97153142221592e-07
"Glioblastoma"	"KaposisSarcoma"	0.206218148699826	1.58387116429664e-90	1.90064539715597e-89
"BreastCancer"	"Asthma"	0.205229972658135	8.73639043051384e-87	9.81163848350016e-86
"IdiopathicPulmonaryFibrosis"	"FamilialDysautonomia"	0.203795836124736	3.08146364258215e-68	2.96633203395821e-67
"BorreliaBurdorferiInfection"	"FamilialPulmonaryArterialHypertension"	0.202073518267847	3.29810866279993e-44	2.14010606563906e-43
"Smoker"	"MyotonicDystrophy"	0.202011150225385	3.68445188211844e-07	7.50599964822268e-07
"DownsSyndrome"	"MultipleSclerosis"	0.198847401545461	0.000330386571934265	0.000545044514151443
"ThyroidCancer_Papillary"	"BreastCancer"	0.195550597095316	2.04986279815618e-79	2.21688865578372e-78
"FacioscapulohumeralDystrophy"	"IdiopathicPulmonaryFibrosis"	0.194999718251913	6.95910525823693e-57	5.34752298790838e-56
"ChronicObstructivePulmonaryDisease"	"IdiopathicPulmonaryFibrosis"	0.193478352509036	9.37128052619643e-94	1.15623123111945e-92
"ProstateCancer"	"FamilialDysautonomia"	0.189168668552616	5.08207378091583e-10	1.24354654527438e-09
"BreastCancer"	"MyotonicDystrophy"	0.187581837855427	4.13378841783023e-68	3.93608549349922e-67
"Ulcer"	"SLE"	0.185842977283571	1.61532596346339e-38	9.30937857890745e-38
"HyperplasticPolyps"	"CoeliacDisease"	0.183030307069537	1.30446638861826e-33	6.76161275993846e-33
"ThyroidCancer_Papillary"	"LungCancer"	0.182280084160134	1.87730699671612e-61	1.55143483879559e-60
"Ulcer"	"MultipleSclerosis"	0.181072650886139	4.83515289316247e-38	2.73264124800666e-37
"HIV"	"Smoker"	0.1798642436702	6.26389412445992e-06	1.18513417991942e-05
"HuntingtonsDisease"	"UlcerativeColitis"	0.179326026078367	7.73332858822704e-63	6.64156455224205e-62
"EosinophilicEsophagitis"	"PosttraumaticStressDisorder"	0.178842216110588	1.82664595566685e-37	1.01274801086339e-36
"BreastCancer"	"KaposisSarcoma"	0.178344481596695	2.56853379825289e-66	2.39365490135056e-65
"MultipleSclerosis"	"SessileSerratedPolyp"	0.177218092754617	1.95426850101215e-22	7.37904830554587e-22
"ColorectalCancer"	"SessileSerratedPolyp"	0.177014479297828	8.39969223121565e-25	3.34460472479314e-24
"IdiopathicPulmonaryFibrosis"	"FamilialPulmonaryArterialHypertension"	0.176029651271744	1.5962033008691e-46	1.06738480271857e-45
"MultipleSclerosis"	"AmyotrophicLateralSclerosis"	0.175927324135313	0.00246732043878496	0.00382543841482411
"Smoker"	"Asthma"	0.175194176608483	4.35477365532161e-14	1.28012809465159e-13
"CrohnsDisease"	"RheumatoidArthritis"	0.174684584120652	6.78605795728109e-60	5.50424700979466e-59
"Asthma"	"MyotonicDystrophy"	0.173448099160363	8.34143730493251e-10	2.00744480195628e-09
"Ulcer"	"Glioblastoma"	0.171859576217307	7.95837888685191e-73	8.01326425848538e-72
"Ulcer"	"LymphocyticColitis"	0.171157412767055	7.7010977739914e-33	3.89951540463379e-32
"Ischemia"	"HuntingtonsDisease"	0.170017801714699	2.00941825588832e-20	7.18469547819661e-20
"Ischemia"	"UlcerativeColitis"	0.169501175064954	7.53852711944002e-47	5.07980750509958e-46
"CrohnsDisease"	"SessileSerratedPolyp"	0.169227745022635	6.2154271399482e-63	5.44471417459462e-62
"LymphocyticColitis"	"LungCancer"	0.169190731593181	1.73303985897825e-48	1.23426253371134e-47
"Schizophrenia"	"FamilialDysautonomia"	0.169005992389519	2.76841558197098e-10	6.85065550792818e-10
"AlagilleSyndrome"	"Smoker"	0.168140789008413	2.42330011657115e-05	4.35002234040231e-05
"Smoker"	"ChronicLymphocyticLeukemia"	0.168138650517738	1.15719542298325e-11	3.00802133689414e-11
"Keratoconus"	"FriedreichsAtaxia"	0.167906788813916	2.21928339392747e-18	7.50614769529135e-18
"Ischemia"	"SessileSerratedPolyp"	0.167095902186029	1.17075196266954e-18	4.00616687225984e-18
"HyperplasticPolyps"	"Ischemia"	0.166604810779765	4.65778685148018e-28	2.04011064094832e-27
"ColorectalCancer"	"HIV"	0.165843147226371	1.44648507372347e-06	2.82839492094143e-06
"HyperplasticPolyps"	"SLE"	0.165737596702189	8.7116600423941e-28	3.77792782036497e-27
"ChronicLymphocyticLeukemia"	"PosttraumaticStressDisorder"	0.165608753546	9.41474079505774e-08	2.0214002295271e-07
"ThyroidCancer_Papillary"	"LiverCancer"	0.16557073158707	2.37880230510586e-48	1.68050872521995e-47
"LymphocyticColitis"	"CrohnsDisease"	0.16516693510872	1.18726409416142e-53	8.96589091797763e-53
"Ischemia"	"FamilialDysautonomia"	0.16489597513145	6.14306783453723e-08	1.33201173837986e-07
"CoeliacDisease"	"HuntingtonsDisease"	0.164683315471344	3.12903260814953e-19	1.0964130258956e-18
"ColorectalCancer"	"Smoker"	0.163527154466076	5.69973224168245e-10	1.39079817373644e-09
"Ulcer"	"ChronicObstructivePulmonaryDisease"	0.162163001379098	4.98423307049066e-62	4.19825785552867e-61
"FacioscapulohumeralDystrophy"	"BreastCancer"	0.161742218629438	7.07706144408794e-51	5.20966876052188e-50
"SessileSerratedPolyp"	"FamilialPulmonaryArterialHypertension"	0.161711136708167	1.51037000295149e-17	4.99277027390756e-17
"Autism"	"Glioblastoma"	0.161274906620102	8.39668602966937e-52	6.23347200168675e-51
"LiverCancer"	"KaposisSarcoma"	0.158248654120757	3.60267480410098e-44	2.32054641793563e-43
"Schizophrenia"	"LungCancer"	0.157578729177275	3.01529743078085e-43	1.91405836910437e-42
"Cardiomyopathy"	"CrohnsDisease"	0.157347928555119	4.19883646433568e-49	3.01490224816234e-48
"ParkinsonsDisease"	"CoeliacDisease"	0.156481803465758	4.4866076943192e-26	1.84519640386086e-25
"AmyotrophicLateralSclerosis"	"KaposisSarcoma"	0.155915694119785	4.94373635793379e-10	1.21308488782913e-09
"Ulcer"	"HyperplasticPolyps"	0.155327709526142	1.71315380766161e-42	1.07194481107969e-41
"ThyroidCancer_Papillary"	"MyotonicDystrophy"	0.154616093854806	1.48885622387537e-09	3.54412514161636e-09
"Ulcer"	"Smoker"	0.154104740724651	4.57988602014818e-29	2.08957299669261e-28
"IdiopathicPulmonaryFibrosis"	"SLE"	0.154011285117582	6.81654744759085e-36	3.6633715117114e-35
"Ulcer"	"ParkinsonsDisease"	0.153619129361724	3.687984172428e-43	2.32422599643664e-42
"ParkinsonsDisease"	"AdenomatousPolyps"	0.152992459039789	1.08264464681043e-27	4.64900348336241e-27
"LymphocyticColitis"	"AdenomatousPolyps"	0.152593637905172	1.33894069994349e-05	2.44866816941649e-05
"SLE"	"FriedreichsAtaxia"	0.150285146845373	5.36803152627849e-15	1.62712651107957e-14
"MultipleSclerosis"	"HyperplasticPolyps"	0.14988456859543	4.49706607468411e-24	1.77451796460508e-23
"FamilialDysautonomia"	"LungCancer"	0.14919155758726	4.18801079790235e-41	2.5301361785948e-40
"MultipleSclerosis"	"Autism"	0.148988287461279	0.0101359641815566	0.0145320861260942
"DownsSyndrome"	"HyperplasticPolyps"	0.148554333464679	1.05492207947565e-22	4.00048372995959e-22
"ParkinsonsDisease"	"Ischemia"	0.146547615429826	4.85189080235694e-23	1.85600713662213e-22
"AlagilleSyndrome"	"ThyroidCancer_Papillary"	0.14610231244997	1.1242168182617e-08	2.53165535423458e-08
"ProstateCancer"	"Schizophrenia"	0.14476116085792	0.00674979918256167	0.0099042279462714
"IdiopathicPulmonaryFibrosis"	"LiverCancer"	0.144342992130664	1.0412493708212e-49	7.60112040699474e-49
"Ischemia"	"KaposisSarcoma"	0.144002220427634	9.24847793801494e-09	2.09345392085299e-08
"FacioscapulohumeralDystrophy"	"FamilialDysautonomia"	0.143113247132872	2.80421345401184e-06	5.44676493506513e-06
"ColorectalCancer"	"LungCancer"	0.141231135623644	8.15103527879982e-36	4.35384567331015e-35
"FacioscapulohumeralDystrophy"	"Schizophrenia"	0.140844565737724	0.0084161864922682	0.0121659725531798
"LymphocyticColitis"	"IdiopathicPulmonaryFibrosis"	0.139375468603991	1.22152313943629e-29	5.69177803269251e-29
"SessileSerratedPolyp"	"MyotonicDystrophy"	0.139329066340329	2.23994575539263e-13	6.26898556461324e-13
"AdenomatousPolyps"	"Ischemia"	0.139006557292751	7.20621672399496e-05	0.000124755846842284
"Glioblastoma"	"MyotonicDystrophy"	0.13889883329995	9.90376512989759e-39	5.74549553231145e-38
"MultipleSclerosis"	"AdenomatousPolyps"	0.138718827118173	4.37799660313244e-06	8.41036189549127e-06
"ProstateCancer"	"LungCancer"	0.13846999479568	6.72482410421761e-33	3.44499761128341e-32
"Keratoconus"	"UlcerativeColitis"	0.138328299690748	1.26029820804555e-31	6.20236646206687e-31
"ColorectalCancer"	"Ischemia"	0.13776282768858	6.36821818337557e-05	0.000110905748084235
"ThyroidCancer_Papillary"	"Glioblastoma"	0.137199661833461	2.00459611341687e-40	1.18650418604945e-39
"DownsSyndrome"	"SessileSerratedPolyp"	0.136880783549214	4.48036696787008e-13	1.24202577970069e-12
"LymphocyticColitis"	"UlcerativeColitis"	0.136634223057237	6.86120189310079e-31	3.32067008748966e-30
"FacioscapulohumeralDystrophy"	"ThyroidCancer_Papillary"	0.136258267088136	1.03465131981617e-07	2.20524222909723e-07
"Glioblastoma"	"UlcerativeColitis"	0.136232100303465	1.05262262440826e-49	7.62063982629454e-49
"IdiopathicPulmonaryFibrosis"	"CoeliacDisease"	0.136087189835016	2.5336019021354e-28	1.11529410365357e-27
"MultipleSclerosis"	"IdiopathicPulmonaryFibrosis"	0.135741228869019	7.4611018700979e-29	3.35175653241321e-28
"AdenomatousPolyps"	"Glioblastoma"	0.135147987514734	5.56654344893786e-38	3.10591851036278e-37
"ColorectalCancer"	"ProstateCancer"	0.133175937663065	0.00011350734051341	0.000194203965409663
"ColorectalCancer"	"LiverCancer"	0.132262262584465	1.47075543617126e-29	6.81683472003187e-29
"LymphocyticColitis"	"LiverCancer"	0.132214263373709	4.76282704526686e-28	2.07573954808645e-27
"Smoker"	"FamilialPulmonaryArterialHypertension"	0.129855610487289	0.00116036946213058	0.00184145588555506
"FacioscapulohumeralDystrophy"	"LungCancer"	0.129686016224047	4.96617219024664e-29	2.25407608220521e-28
"AlagilleSyndrome"	"Schizophrenia"	0.129460476429042	0.0153706247656711	0.021752289652226
"Autism"	"LungCancer"	0.129363255345355	6.58354743357097e-29	2.97277708856091e-28
"ColorectalCancer"	"Schizophrenia"	0.128667312289625	1.01123472967614e-05	1.85711032116625e-05
"ThyroidCancer_Papillary"	"ProstateCancer"	0.12846063850003	5.34690695505737e-07	1.0742868102363e-06
"ParkinsonsDisease"	"AlagilleSyndrome"	0.126492352607318	1.59445297731042e-17	5.25090529369897e-17
"AdenomatousPolyps"	"SessileSerratedPolyp"	0.126292571868839	1.31063452210809e-13	3.73979101422374e-13
"Ulcer"	"Ischemia"	0.125650576403778	2.45679175525827e-18	8.27749837540863e-18
"Asthma"	"LungCancer"	0.125124403465529	1.86777734977858e-29	8.61143662318968e-29
"Ulcer"	"FriedreichsAtaxia"	0.124632918987527	2.51677332092078e-24	9.9759883670887e-24
"AlagilleSyndrome"	"LungCancer"	0.124083557972096	1.0675503940567e-26	4.47451744111803e-26
"PosttraumaticStressDisorder"	"LungCancer"	0.123915896334308	1.2490387596565e-26	5.21027596885281e-26
"Schizophrenia"	"AmyotrophicLateralSclerosis"	0.123261433371629	0.0208948142749413	0.0289617995329883
"DownsSyndrome"	"Smoker"	0.122042982222424	0.00184094463541866	0.00289527378927602
"ParkinsonsDisease"	"ProstateCancer"	0.119864775396815	7.06245946666278e-16	2.20167775544363e-15
"ParkinsonsDisease"	"DownsSyndrome"	0.119251069320104	8.39433594626333e-16	2.59838808795996e-15
"AdenomatousPolyps"	"IdiopathicPulmonaryFibrosis"	0.118994954937482	1.45562415363055e-23	5.64215379902816e-23
"Autism"	"UlcerativeColitis"	0.118605583855826	1.20418293462703e-23	4.68828555881457e-23
"SLE"	"Glioblastoma"	0.118567612393802	1.30912420421734e-28	5.79188284290094e-28
"FamilialDysautonomia"	"CoeliacDisease"	0.116750622965296	0.000136141510236529	0.000230231588739767
"LymphocyticColitis"	"FriedreichsAtaxia"	0.116625659936581	1.43036767775042e-09	3.41417462046149e-09
"CrohnsDisease"	"Keratoconus"	0.116067311270541	3.49537461721816e-27	1.47209046378996e-26
"MultipleSclerosis"	"UlcerativeColitis"	0.115923395185439	3.93468730219725e-23	1.51174827926526e-22
"Cardiomyopathy"	"UlcerativeColitis"	0.115723835913678	8.2203217045714e-23	3.13087035356719e-22
"FriedreichsAtaxia"	"UlcerativeColitis"	0.115600498592729	1.39538584050388e-26	5.79316585915354e-26
"EosinophilicEsophagitis"	"RheumatoidArthritis"	0.114658284196245	3.30592864572328e-16	1.04548501575942e-15
"Schizophrenia"	"FamilialPulmonaryArterialHypertension"	0.114588864526019	0.0323490595073781	0.0436637536648123
"Autism"	"KaposisSarcoma"	0.114139394185571	5.44704205591199e-06	1.0395661962917e-05
"SLE"	"UlcerativeColitis"	0.113234634403322	1.14375328253094e-21	4.20978098948363e-21
"CrohnsDisease"	"HIV"	0.111067393185251	5.13225617016155e-25	2.06231945186308e-24
"Ulcer"	"IdiopathicPulmonaryFibrosis"	0.11034611900861	1.76228235353965e-26	7.28188368726763e-26
"AdenomatousPolyps"	"HuntingtonsDisease"	0.110122966438805	5.19923829595761e-11	1.32015441949532e-10
"ProstateCancer"	"LiverCancer"	0.1099465086012	7.62585231889511e-20	2.69364783522263e-19
"ThyroidCancer_Papillary"	"SLE"	0.107436796465189	2.81828786129546e-05	5.01792716767241e-05
"FamilialDysautonomia"	"RheumatoidArthritis"	0.106601733104305	0.000498717830176851	0.000815068692602465
"IdiopathicPulmonaryFibrosis"	"Glioblastoma"	0.106026739635944	2.98716578206406e-30	1.4144633649125e-29
"ColorectalCancer"	"Autism"	0.105351670867498	0.00223305982480144	0.00346836951511713
"AmyotrophicLateralSclerosis"	"FriedreichsAtaxia"	0.104750040798213	5.50464389941313e-08	1.20251073712865e-07
"ColorectalCancer"	"MyotonicDystrophy"	0.103821664680106	0.00266722361935103	0.00410630560729614
"MultipleSclerosis"	"CrohnsDisease"	0.103467436499277	2.84460114836016e-22	1.06037047062277e-21
"ColorectalCancer"	"KaposisSarcoma"	0.103369719340856	7.81766060388878e-07	1.55997054419284e-06
"CrohnsDisease"	"Ischemia"	0.102519252932652	1.54145794461502e-21	5.62632149784482e-21
"Ulcer"	"AmyotrophicLateralSclerosis"	0.101622766908156	1.75530420159318e-12	4.74582247097415e-12
"SessileSerratedPolyp"	"SLE"	0.101610769207095	9.44967869577819e-08	2.02394096271435e-07
"CrohnsDisease"	"HuntingtonsDisease"	0.101583875121487	4.54606290933835e-24	1.78580767200914e-23
"ParkinsonsDisease"	"FacioscapulohumeralDystrophy"	0.101567234280258	8.45435014977198e-12	2.21736848239529e-11
"Cardiomyopathy"	"FriedreichsAtaxia"	0.101264893634012	8.26685152736949e-08	1.77930268746331e-07
"EosinophilicEsophagitis"	"UlcerativeColitis"	0.101106644201079	3.56330695100729e-23	1.37509114056493e-22
"SessileSerratedPolyp"	"CoeliacDisease"	0.100647160182762	1.2559150667637e-07	2.64466730405048e-07
"HyperplasticPolyps"	"IdiopathicPulmonaryFibrosis"	0.100422957291176	1.33339685219283e-21	4.887262102598e-21
"EosinophilicEsophagitis"	"Glioblastoma"	0.100394822173603	1.58469238373984e-25	6.48687162689768e-25
"AlagilleSyndrome"	"SessileSerratedPolyp"	0.100344297276063	1.36319401047505e-07	2.85001898132732e-07
"Glioblastoma"	"LungCancer"	0.100111225291185	1.57595828984002e-27	6.7016478733003e-27
"EosinophilicEsophagitis"	"CrohnsDisease"	0.0999827846141328	2.16279210986883e-25	8.77132355669024e-25
"Cardiomyopathy"	"ChronicLymphocyticLeukemia"	0.0991481606047677	0.000756093999777217	0.00121529971340338
"EosinophilicEsophagitis"	"ColorectalCancer"	0.098558500233156	2.22061615049909e-13	6.23480688409361e-13
"BipolarDisorder"	"ChronicObstructivePulmonaryDisease"	0.0985583012765599	1.49493374522145e-18	5.09557183196105e-18
"ThyroidCancer_Papillary"	"Schizophrenia"	0.098262889730541	2.69082286061085e-05	4.81053229774511e-05
"ProstateCancer"	"KaposisSarcoma"	0.0969274104843994	0.000117404938913588	0.000200480948320279
"ThyroidCancer_Papillary"	"CoeliacDisease"	0.0969172183446889	0.000159627218220877	0.000267663311360615
"LymphocyticColitis"	"Smoker"	0.0964635057608959	0.0160178053436993	0.0225951650258946
"MultipleSclerosis"	"Asthma"	0.0949759279358774	0.000219071471283585	0.000364841461681408
"ThyroidCancer_Papillary"	"Ischemia"	0.0940583362434228	0.000246238252063805	0.000407759373927964
"FacioscapulohumeralDystrophy"	"Glioblastoma"	0.0931906982455875	3.05329331197508e-18	1.02478350241003e-17
"Ulcer"	"LiverCancer"	0.0929128540703165	1.61549634661299e-19	5.68343293025292e-19
"ColorectalCancer"	"Glioblastoma"	0.092731868441875	1.05805014368894e-18	3.63471343479023e-18
